Hello World
grey : 132
favour : 132
evening : 132
man : 396
sable : 132
look : 792
stood : 264
may : 132
a : 5280
trundled : 132
meaning : 132
morning : 132
won't : 264
taking : 132
i : 2640
cobbles : 132
new : 132
what : 264
elegant : 264
having : 264
handsome : 132
disagreeable : 132
drop : 132
you'd : 132
took : 132
by : 264
oughtn't : 132
long : 396
taste : 132
has : 396
who : 792
couldn't : 132
would : 396
you--it's : 132
had : 660
be : 1716
think : 660
get : 264
seeing : 132
much : 660
utter : 132
and : 5544
i'd : 132
delicate : 132
orders : 132
i'm : 264
make : 132
large : 132
hope : 132
pound : 264
hating : 132
does : 528
bill : 132
clothing : 132
morel : 1320
set : 132
horse : 132
through : 264
stockings : 132
name : 264
all : 660
refusing : 132
spends : 132
western--for : 132
desolate : 132
depend : 132
at : 1980
as : 1584
finished : 132
still : 264
game : 132
photo : 264
moved : 132
reckon : 264
expected : 132
never : 396
which : 132
great : 264
see : 528
helping : 132
stand : 132
take : 132
am : 132
an : 792
there : 396
suit : 132
off : 132
laying : 132
rejoiced : 132
castle : 132
eating-house : 132
boy : 264
peculiar : 132
cup : 132
william : 528
they : 1848
louisa : 264
no : 264
rights : 132
bother : 132
trams : 132
of : 4620
hankered : 132
help : 132
given : 264
shops : 396
among : 132
reddish : 132
says : 132
on : 1980
only : 792
her : 2244
kidney-pies : 132
heart : 132
jordan : 396
or : 264
son : 264
shoulders : 132
row : 264
scent : 132
sun--apples : 132
suppose : 132
snatched : 132
them : 264
then : 528
will : 264
small : 264
plant : 132
home : 132
beastly : 132
moment : 132
gradually : 132
most : 132
occurred : 132
space : 132
across : 132
followed : 132
looking : 264
rather : 264
me : 660
note : 132
thankful : 132
beautiful : 132
waited : 396
don't : 264
it's : 132
my : 264
bluff : 132
louie : 132
chokes : 132
cut : 132
puff : 132
standing : 264
last : 264
second : 132
being : 396
reluctantly : 132
smirking : 132
him : 660
where : 132
cooked : 132
every : 264
eight : 264
love : 264
scanned : 132
almost : 132
more : 132
sky : 132
his : 2640
when : 792
wonder : 264
certainly : 132
workman : 132
ignominy : 132
flowers : 132
darkness : 132
live : 132
isn't : 132
such : 396
liked : 132
means : 132
defiant : 132
meant : 396
here : 264
girl--her : 132
dinner : 132
words--er--'doigts--fingers'--er--i : 132
paul : 528
mother : 660
lives : 132
called : 132
this : 792
bas--grey : 132
in--at : 132
potatoes : 132
way : 132
from : 396
was : 2904
considered : 264
real : 132
sight : 132
able : 132
if : 396
read : 132
shillings : 396
spent : 132
shut-off : 132
between : 132
less : 132
those : 264
is : 1056
it : 2640
afternoon : 132
mellow : 132
your : 264
taught : 132
in : 3300
know : 396
spend : 132
the--it's : 132
pass : 132
two : 264
felt : 264
blue : 264
looked : 792
naked : 132
money's : 132
things : 264
earn : 132
market-place : 132
black--the : 132
found : 264
wrote : 132
knew : 396
nice : 132
rage : 132
its : 132
eyes : 132
staring : 132
it'll : 132
place : 132
going : 396
how : 264
potted : 132
quiet : 132
available : 132
kitchen : 132
always : 264
content : 132
wandered : 132
thirty : 132
floor : 132
simply : 132
own : 264
fellow : 132
we : 264
sort : 132
currant : 264
give : 264
clod : 132
i've : 132
earns : 264
hardly : 132
bestwood : 132
exclaimed : 132
s'll : 396
well--as : 132
kills : 132
gold : 264
bangle : 132
fulfilment : 132
plums : 132
keep's : 132
come : 528
back : 132
front : 264
spiral : 132
seen : 132
young : 660
up : 528
peering : 132
battling : 132
reckless : 132
feeling : 264
sorry : 132
doesn't : 264
down : 528
keep : 264
week : 132
afford : 132
to : 6600
mightn't : 132
paul's : 132
supposed : 264
you'll : 264
good : 264
round : 396
ended : 132
must : 132
didn't : 264
discussions : 132
after : 264
takes : 132
care : 132
dark : 132
taken : 132
fruit : 396
so : 1320
mouth : 264
indulgence : 132
wunna : 132
that : 2244
prim : 132
than : 264
whom : 132
thumb : 132
got : 264
quarter : 132
chiffonier : 132
cheapest : 132
can : 264
about : 132
hang : 132
precious : 132
supply : 132
replied : 132
too : 264
granite : 132
counter : 132
green-bushed : 132
you : 1584
soon : 132
school : 132
ordered : 132
whoever : 132
dost : 132
our : 264
very : 396
out : 528
for : 1980
hundred : 132
insist : 264
house : 132
bring : 132
shrank : 132
towards : 132
people : 396
season-ticket : 132
whether : 132
went : 396
filled : 132
draw : 132
open : 132
are : 264
can't : 396
shadow : 132
fifty : 132
arrived : 132
refused : 132
pairs--gris : 132
insisted : 264
form : 132
pairs : 132
satin : 132
again : 132
did : 528
scrap : 132
wasn't : 264
like : 660
without : 132
shall : 132
not : 1056
he'll : 132
now : 264
sat : 264
say : 396
saw : 132
years : 132
ask : 132
cried : 132
some : 132
outside : 132
crouched : 132
smell : 132
might : 264
doorway : 132
put : 132
assented : 132
purposes : 132
trying : 264
wanted : 660
they've : 132
twice : 132
money : 264
is--red : 132
mind : 132
want : 264
just : 924
miracle : 132
sunless : 132
whilst : 132
return : 132
should : 264
came--a : 132
lily : 264
fall : 132
mustn't : 132
waitress : 132
photographers : 132
ten : 132
old : 132
but : 2508
succeeding : 132
send : 660
hated : 132
mother's : 132
buy : 396
the--er--'two : 132
little : 924
courage : 132
tea : 264
fool : 132
been : 132
hasn't : 132
silly : 132
sent : 132
were : 528
please : 132
turned : 132
flirted : 132
there's : 132
longer : 132
sniffing : 132
proper : 132
positive : 132
presently : 132
gyp : 132
sure : 264
work : 132
lace : 132
sink : 132
junior : 132
girl's : 132
market : 132
thick : 132
clerk : 132
station--at : 132
word : 132
even : 264
brush : 132
perhaps : 132
passing : 132
marvelled : 132
ter : 132
warm : 132
have : 924
paper : 264
one : 660
fil : 132
stocks : 132
hanging : 132
because : 132
another : 132
girl : 660
full : 264
mother--the : 132
wash : 132
die : 132
mean : 264
piles : 132
they're : 396
perfect : 132
find : 132
owermuch : 132
with : 1848
beginning : 132
desperately : 132
poor : 132
the : 11220
came : 528
me'--er--er--i : 132
wits : 132
quite : 528
engaged : 132
lady : 396
their : 264
first : 264
green-gage : 132
File name: input/input_11.txt
blazing : 132
occupied : 132
said : 1320
freedom : 132
confessed : 132
continued : 132
olive : 132
answered : 132
kid : 132
becoming : 132
pleading : 132
time : 264
over : 792
beans : 132
she : 3960
began : 132
slow : 132
something : 264
black : 528
these : 264
asked : 264
chattered : 132
told : 132
papers : 132
wide : 132
miles : 132
he : 9900
barges : 132
bit : 132
he's : 132
ear : 132
herself : 264
each : 132
big : 132
wherever : 132
immense : 132
go : 396
littered : 132
seated : 132
before : 132
made : 396
partly : 132
trouble : 132
stairs : 132
side : 132
could : 528
write : 132
usually : 132
current : 132
smiled : 132
grey : 132
tell : 132
left : 132
do : 132
sheet : 132
man : 660
streaming : 132
enjoyed : 132
stood : 660
look : 528
grubby : 132
safe : 132
may : 132
needlework : 132
unfolded : 132
firm : 132
anxiety : 132
throned : 132
a : 9240
o'clock : 132
alpaca : 132
living : 132
canal : 132
till : 132
talked : 132
i : 1188
new : 396
red : 528
what : 528
waved : 132
elegant : 264
having : 396
handsome : 264
hesitating : 132
bullet : 132
yet : 132
physical : 132
fancy : 132
rocking : 132
losing : 132
took : 132
white-whiskered : 132
stone : 132
by : 924
same : 132
jaws : 132
enough : 264
who : 396
pretended : 132
ventured : 132
would : 1848
deal : 132
any : 264
bank : 132
light : 132
clerks : 264
had : 1584
be : 660
silly--meeting : 132
get : 264
seeing : 132
station : 132
him--a : 132
fat : 132
likely : 264
learn : 264
far : 396
burst : 132
cream : 132
bleached : 132
much : 660
bedroom : 132
and : 10692
earning : 132
near : 132
names : 132
colliers : 132
brewer's : 132
factory : 132
brass : 132
straight : 132
large : 132
wall : 132
room : 132
thing : 132
does : 132
wondered : 132
set : 264
sunflowers : 132
morel : 924
through : 132
lighter : 132
business : 396
lad : 132
brightness : 132
sack : 132
unsettled : 132
lights : 132
stockings : 264
met : 264
hands : 264
men : 792
action--he : 132
all : 1452
tall : 132
talk : 132
law : 132
flimsy : 132
screwed : 132
houses : 132
lay : 264
at : 2376
man's : 264
as : 2376
still : 264
therefore : 132
never : 396
which : 396
great : 264
wooden : 264
see : 528
brightening : 132
advertisements : 132
stand : 132
take : 264
am : 132
inside : 264
an : 924
there : 264
suit : 132
off : 264
manner : 132
brown : 132
odour : 132
doorsteps : 132
boy : 396
why : 132
william : 660
they : 1980
irritably : 132
no : 132
collar : 132
street : 396
door : 132
of : 7920
shops : 264
among : 396
notepaper : 132
on : 3960
only : 396
her : 2640
loomed : 132
commercial : 132
thrusting : 132
fetch : 132
wild : 132
heart : 660
jordan : 528
or : 660
son : 792
bad : 132
steps : 264
third : 132
sensible : 132
suppose : 132
tangled : 132
shirt-sleeves : 132
cardboard : 132
then : 1584
doubtful : 132
small : 396
upon : 132
home : 132
getting : 264
fashion : 132
glossy : 264
broad : 132
moment : 132
hastily : 132
joy : 132
eleven : 132
plenty : 132
most : 132
thought : 396
followed : 396
idly : 132
clear : 132
short : 132
looking : 528
flights : 132
rolling : 264
handed : 132
visiting : 132
tiptoe : 132
rather : 924
note : 132
water : 264
held : 132
green : 132
beautiful : 132
advertisement : 132
enormous : 132
my : 396
dreaded : 264
irritable : 132
boated : 132
interview : 132
telling : 132
pointing : 132
you're : 132
last : 132
being : 528
parapet : 132
since : 132
actually : 132
him : 792
where : 264
fever : 264
beloved : 132
love : 132
almost : 264
more : 132
stunned : 132
his : 4224
when : 792
wonder : 132
everywhere : 132
isn't : 132
such : 132
norfolk : 132
projecting : 132
doubt : 132
heavy : 132
unreasonable : 132
studied : 132
paul : 1848
mother : 1320
called : 132
vain : 132
thin : 132
mounted : 132
this : 792
lodging : 132
quick : 132
way : 396
ease : 132
wondering : 132
from : 528
suffered : 396
was : 6600
prisoner : 132
contracted : 132
ticket-office : 132
if : 528
seemed : 1056
below : 132
various : 132
shillings : 132
lest : 132
between : 132
less : 132
is : 528
it : 2508
indifferently : 132
rolled : 132
peeped : 132
walthamstow : 132
silver : 132
your : 132
into : 792
loved : 132
grinding : 132
in : 7260
know : 264
knot : 132
carrington : 132
pig : 132
two : 660
away : 264
anxious : 264
felt : 396
looked : 1584
upholstered : 132
wrong : 132
things : 264
also : 264
thirteen : 132
found : 264
son--surgical : 132
satirical : 132
prouder : 132
knew : 264
wrote : 132
yellow : 132
its : 264
customer : 132
ready : 132
counters : 132
associate : 132
eyes : 264
danced : 132
strange : 264
hairs : 132
monstrous : 132
sunshine : 264
along : 132
place : 132
piccadilly : 264
copy : 132
composed : 132
going : 660
how : 528
under : 132
journey : 132
admirable : 132
kitchen : 132
quiet : 264
became : 132
always : 396
godfather : 132
system : 132
london : 132
sunday : 132
yellow-ochred : 132
own : 396
load : 132
elastic : 264
low : 132
excitement : 132
face : 264
ugly : 132
sort : 132
delightful : 132
common : 132
expensive : 132
charles : 132
bestwood : 132
run : 132
useless : 132
wistfully : 132
running : 132
noticed : 132
exposed : 132
adventure : 132
giddily : 132
figure : 132
american : 132
written : 264
dresses : 132
caught : 132
hair : 132
crept : 132
inquiringly : 132
come : 132
front : 528
surprised : 132
young : 264
admit : 132
up : 1584
gave : 132
narrow : 132
either : 132
presence : 132
horse-hair : 132
feeling : 264
doesn't : 132
down : 924
part : 132
dog : 132
garden : 132
pomeranian : 132
keep : 132
asleep : 132
to : 4752
hills : 132
straw : 264
paul's : 132
supposed : 132
half : 264
round : 264
good : 132
after : 132
friends : 264
dragging : 132
dark : 660
jordan's : 132
taken : 264
boy's : 264
drapery : 132
sniffed : 132
recognised : 132
whose : 264
so : 1320
white : 528
behind : 396
saved : 132
shone : 132
gone : 264
intended : 264
couched : 132
stared : 264
that : 1980
railway : 132
surgical : 132
than : 396
several : 132
whom : 132
foreign : 132
inquired : 132
handwriting : 264
got : 396
saddled : 132
killing : 132
walking : 264
opposite : 132
about : 132
massively : 132
well : 264
hang : 132
hand : 132
elder : 132
snappy : 132
dirty : 396
above : 132
four : 264
transparent : 132
top : 132
ominous : 132
feel : 528
emerged : 132
clearest : 132
chasing : 132
spaniel : 132
fidgeted : 132
reading-room : 264
you : 2376
inquiring : 132
soon : 132
school : 132
scan : 264
high : 132
crate : 132
masters : 132
tight : 396
our : 132
leaned : 132
gloomy : 132
out : 792
very : 528
doors : 132
plumes : 132
for : 1980
suffering : 264
wash-leather : 132
spied : 132
hurrying : 132
towards : 132
house : 264
whether : 132
unapproachable : 132
elsewhere : 132
went : 792
stoutly : 132
open : 132
accepted : 132
can't : 132
intimate : 132
buildings : 132
yourself : 132
rubbing : 132
confusion : 132
guilty : 132
did : 1320
scrap : 132
table : 132
like : 1716
many : 132
not : 1320
stopped : 132
now : 396
sat : 264
wished : 132
say : 264
jolly : 132
saw : 528
tied : 132
some : 396
outside : 132
suddenly : 264
lovers : 132
put : 264
dreamed : 132
pain : 264
valley : 264
waggons : 132
kind : 264
watched : 132
words : 132
reminded : 132
money : 264
spin : 132
pile : 132
tuesday : 132
thomas : 396
end : 132
want : 264
congratulated : 132
just : 264
uncertain : 132
aloud : 132
edge : 132
figured : 132
walked : 264
brooded : 132
slip : 132
gloves : 132
already : 264
keston : 132
should : 132
draggled : 132
led : 132
brother : 132
ten : 264
shop : 264
old : 792
but : 924
hated : 132
afterwards : 132
purse : 132
wish : 132
scaffold : 132
brightly : 132
little : 1188
together : 132
been : 264
peter's : 132
silly : 132
were : 1584
sent : 132
turned : 132
cold : 132
woman : 264
bidden : 132
pleased : 132
head : 132
crackling : 132
except : 132
goes : 132
parcels : 264
worn : 132
letter : 264
half-shut : 132
staying : 132
himself : 264
picture : 132
at-home : 132
crimson : 132
window : 132
thick : 264
manufacturer : 264
hunting : 132
even : 132
manner--he : 132
wore : 264
town : 132
regulated : 132
known : 132
ever : 132
blankly : 132
call : 264
other : 660
yard : 132
have : 660
paper : 396
one : 792
merely : 264
because : 396
minute : 132
another : 264
girl : 264
full : 264
scarcely : 132
sunny : 132
bonnet : 132
glass : 396
august : 132
shrinking : 132
pulled : 132
fine : 132
find : 132
office : 132
sixteen : 132
with : 4224
folk : 132
adorned : 132
glanced : 132
resented : 264
nearly : 132
creamy : 132
came : 660
the : 17028
woods : 132
women : 132
quite : 528
pushed : 264
their : 660
hoops : 132
File name: input/input_02.txt
manhood : 132
said : 1188
rummaged : 132
father's : 132
wait : 528
spoke : 132
until : 132
time : 660
over : 528
day--she : 132
movement : 132
began : 132
she : 7920
brow : 396
something : 132
black : 132
summoning : 132
asked : 396
once : 264
moving : 264
tins : 132
he : 13860
sleep : 132
few : 132
alacrity : 132
inactivity : 132
soak : 264
herself : 132
air : 264
eat : 132
big : 132
go : 264
she's : 132
before : 132
made : 660
sixpence : 264
parted : 132
six : 264
slightly : 132
sufficiently : 132
side : 132
could : 660
usually : 132
tell : 132
left : 396
do : 264
wet : 132
crashed : 132
stood : 264
look : 396
may : 132
tone : 132
a : 5676
o'clock : 264
won't : 132
morning : 132
till : 264
fire : 396
sank : 264
taking : 264
broke : 132
i : 1320
yes : 132
yer : 132
sounded : 132
what : 1056
mincing : 132
nothing : 132
lacing : 132
having : 396
legs : 132
hastened : 264
knobs : 132
soaked : 132
returned : 132
yet : 132
tightly : 132
conviction : 132
anywhere : 132
least : 132
drop : 396
averted : 132
took : 396
by : 528
tragedy : 132
enough : 132
trembling : 264
has : 264
hat : 132
who : 132
shollt : 132
would : 1056
passage : 132
any : 132
glowered : 132
had : 3168
be : 396
think : 264
get : 660
learn : 132
eager : 132
much : 264
and : 6732
craning : 132
speech : 264
near : 132
i'd : 132
against : 264
sh'lt : 132
day : 264
i'm : 264
fast : 132
make : 132
straight : 396
thing : 132
does : 132
smelled : 132
glistening : 264
carefully : 132
rainy : 132
neck : 132
morel : 1320
tried : 132
convulsed : 132
through : 264
husband : 132
accused : 132
knocked : 132
restraint : 132
pay : 264
men : 132
metallic : 132
appeared : 132
all : 1584
deadlock : 132
dismayed : 132
lay : 264
at : 2904
grumbled : 132
as : 3432
finished : 132
still : 396
stages : 132
walter : 264
never : 264
which : 792
great : 132
see : 396
ran : 264
take : 132
i'll : 264
there : 792
an : 264
bottoms : 132
approaching : 132
sneak : 132
bind : 132
wincing : 132
damaged : 132
william : 132
they : 924
fell : 132
no : 264
door : 264
eternally : 132
peered : 132
haste : 132
of : 5544
determinedly : 132
on : 3300
only : 528
watchful : 132
her : 5544
carry : 132
knife : 132
blackish : 132
heart : 264
bustled : 132
offended : 132
or : 660
hold : 132
done : 396
heartily : 132
hushed : 264
flew : 132
breathed : 132
rose : 264
them : 264
then : 1056
silence : 132
lips : 132
heart's : 132
baby's : 264
filch : 132
small : 132
thee : 264
upon : 264
home : 264
getting : 132
punishment : 132
scattered : 132
numb : 132
eleven : 132
prostrated : 132
most : 132
thought : 264
express : 264
inflicting : 132
across : 264
wound : 132
dragged : 132
cruel : 132
clear : 132
looking : 264
distance : 132
heard : 396
clean : 132
supported : 132
rather : 528
closed : 264
me : 528
kept : 396
swayed : 132
weakly : 132
enormous : 132
waited : 132
wadding : 132
wriggle : 132
catastrophe : 132
it's : 132
my : 660
dreaded : 132
struggling : 132
cut : 396
telling : 132
reflex : 132
glowering : 132
last : 396
second : 264
being : 132
deeply : 132
intense : 132
entered : 132
him : 1848
flung : 132
where : 264
every : 132
hunted : 264
middle : 132
temper : 132
almost : 264
more : 396
his : 4620
stunned : 132
family : 396
when : 1320
clatter : 132
eye : 132
everywhere : 132
asking : 132
returning : 264
clothes : 132
bed : 264
heavy : 132
sharply : 132
mother : 264
violent : 132
this : 924
sickened : 264
lost : 132
noon : 132
steamed : 132
way : 132
wondering : 132
from : 1056
unsteadily : 132
suffered : 132
while : 264
father : 132
was : 6996
sprung : 132
if : 1452
seemed : 132
arms : 132
stuck : 132
grasped : 132
spent : 132
lest : 132
between : 132
is : 132
civilly : 132
it : 3300
added : 132
your : 132
play : 132
into : 1188
in : 5676
know : 660
balanced : 132
away : 396
two : 528
wednesday : 132
meals : 132
hurt : 264
felt : 660
clasped : 132
looked : 528
stifling : 132
wife : 264
noisily : 132
unconscious : 132
characteristic : 132
remained : 132
found : 132
tea-things : 132
tipping : 132
corners : 132
its : 396
chatter : 132
blew : 132
hung : 132
pot : 132
eyes : 396
turning : 132
candle : 132
intoxication : 132
seat : 132
forward : 264
bundle : 132
clang : 132
it'll : 132
tha's : 132
brain : 132
responsibility : 132
going : 132
stumbled : 132
how : 132
under : 132
soul : 132
windows : 132
became : 132
blood : 660
always : 264
indulgent : 132
afraid : 132
sunday : 396
hot : 132
own : 396
low : 132
silent : 132
face : 396
i've : 132
tipsy : 132
next : 264
splashed : 132
brought : 264
unequal : 132
life : 132
dresser : 132
shilling : 132
evening's : 132
civil : 264
excused : 132
baby : 924
caught : 264
proceeded : 132
initiative : 132
scratch : 132
previous : 132
whatever : 132
consciousness : 132
back : 528
comb : 132
vulgar : 132
up : 528
works : 132
gave : 132
narrow : 132
presence : 132
feeling : 264
sorry : 132
hopelessness : 132
down : 924
dog : 132
garden : 132
keep : 264
to : 6864
both : 132
inner : 132
pull : 264
rake : 132
pushing : 264
round : 264
bowed : 132
affected : 132
woke : 132
jerked : 264
care : 132
dark : 264
taken : 264
misery : 132
drunken : 132
latch : 132
so : 1188
shallow : 132
mouth : 132
behind : 132
white : 264
effort : 132
shone : 132
listening : 132
bullied : 132
stared : 132
moments : 132
bell : 132
that : 1584
clapped : 132
battle : 132
sound : 132
than : 132
got : 792
early : 132
immediately : 264
clutched : 132
succeeded : 132
humble : 132
can : 264
brick : 132
about : 528
catch : 132
children : 660
impassive : 132
hang : 132
thawed : 132
child : 396
setting : 132
shut : 132
raker : 132
above : 132
singed : 132
four : 132
hiccoughing : 132
sulking : 132
too : 396
top : 132
thrust : 132
thus : 132
strength : 132
you : 924
bending : 132
soon : 132
anything : 132
thud : 132
drops : 132
certain : 264
leaned : 132
out : 924
bent : 264
very : 396
flash : 132
for : 1584
tie : 132
hundred : 132
lurched : 132
shrank : 264
towards : 396
went : 1320
you--wait : 132
expect : 132
are : 264
week-end : 132
alleviate : 132
ignoring : 132
bathed : 132
insisted : 132
grasp : 132
leaning : 264
feebleness : 132
again : 396
did : 528
prevent : 132
table : 396
like : 660
without : 264
not : 1716
stockinged : 132
sat : 528
tired : 264
say : 528
jolly : 132
divided : 132
saw : 132
cried : 132
sousing : 132
some : 264
smell : 132
put : 792
twopence : 132
wetted : 132
wheriver : 132
trying : 132
wanted : 132
gusto : 132
watched : 132
paid : 132
twice : 132
money : 132
shouted : 132
just : 132
aloud : 132
uncertain : 132
return : 132
nuisance : 132
crying : 264
already : 132
should : 528
chair : 132
bleeding : 132
fall : 132
spirit : 132
annie : 132
hardened : 132
reading : 132
but : 1716
hated : 264
hate : 132
purse : 660
mother's : 132
wish : 132
hadn't : 396
slate : 132
little : 132
tea : 264
drawer : 792
cared : 132
child's : 132
glared : 132
were : 924
beer : 132
turned : 132
niver : 132
cold : 396
three : 132
longer : 264
head : 528
drew : 132
presently : 528
sure : 132
drearily : 132
pains : 132
himself : 660
hearing : 132
voices : 132
food : 132
fingers : 132
even : 264
word : 264
known : 132
rest : 132
sensitiveness : 132
pitch : 132
wearily : 132
other : 264
have : 396
one : 792
contained : 132
mornings : 132
merely : 132
because : 396
minute : 264
fit : 132
another : 132
full : 264
during : 132
scarcely : 396
gazing : 132
averting : 132
ate : 396
tones : 132
passion : 132
palmerston : 396
pulled : 264
meal : 132
detect : 132
with : 3432
glanced : 132
wishing : 132
lock : 132
nearly : 264
came : 660
the : 17160
steel : 132
women : 132
swaying : 264
drank : 132
paddled : 132
tha : 396
roofs : 132
sighed : 132
pushed : 132
fumbled : 132
their : 396
first : 132
lie : 132
File name: input/input_14.txt
blessed : 132
forgave : 132
said : 1056
wait : 132
warehouse : 132
kid : 132
time : 264
over : 132
slope : 132
began : 132
she : 6732
brow : 132
something : 264
arthur : 132
asked : 264
else : 132
undue : 132
patterns : 132
forgive : 264
promised : 132
tipped : 132
cleaned : 132
he : 7392
washed : 132
dainty : 132
keeping : 132
big : 132
go : 660
queer : 132
she's : 1056
before : 132
made : 132
mater : 132
servant : 132
sweetheart : 264
love--at : 132
glibness : 132
stairs : 132
leave : 132
side : 132
could : 264
usually : 132
do : 660
left : 264
tell : 132
lived : 132
sheer : 132
crawled : 132
evening : 132
man : 264
stood : 132
look : 396
a : 5148
won't : 264
morning : 264
till : 132
fire : 132
i : 3036
sit : 264
new : 396
red : 132
deeper : 132
waved : 132
statutes : 132
minton : 132
returned : 132
yet : 132
fancy : 132
change : 132
took : 264
white-haired : 132
queened : 132
by : 396
same : 132
raking : 132
long : 132
has : 264
who : 264
couldn't : 264
any : 264
everybody : 132
had : 1584
be : 528
forced : 132
think : 396
get : 132
station : 132
umbrella : 132
far : 132
rattle : 132
much : 528
and : 6468
holiday : 132
considerably : 132
played : 132
against : 264
day : 132
fast : 132
i'm : 528
make : 132
walk : 132
wall : 132
does : 132
remember : 132
set : 132
morel : 528
business : 132
laughing : 132
carrying : 132
gallant : 132
pretending : 264
wonderfully : 132
all : 792
appeared : 132
half-day : 132
taller : 132
surveyed : 132
at : 2112
she'll : 132
as : 1452
still : 132
sketched : 132
expected : 132
never : 396
which : 132
great : 528
see : 264
take : 264
am : 132
there : 132
an : 660
inside : 132
suit : 264
off : 264
beasts : 132
bow : 132
boy : 264
why : 132
william : 924
they : 1056
fell : 132
you've : 132
no : 660
street : 132
chubby : 132
puzzled : 132
frock-coat : 132
leivers : 132
of : 3432
given : 132
among : 132
burnt : 132
only : 396
on : 1848
anybody : 132
her : 3036
everyone : 132
wonderful : 132
larking : 132
perplexed : 132
or : 660
son : 132
health : 132
third : 132
cherry-tree : 132
shoulders : 132
rose : 132
haughty : 132
sitting : 396
them : 528
then : 660
will : 264
holds : 132
small : 132
different : 132
getting : 396
home : 132
raised : 132
eleven : 264
thought : 264
most : 132
road : 264
followed : 132
looking : 396
thank : 132
heard : 264
clean : 132
rather : 924
me : 264
stay : 132
creature : 132
heaps : 132
green : 132
enormous : 132
waited : 132
don't : 924
fallow : 132
it's : 396
my : 1188
worried : 132
highroad : 132
within : 132
standing : 264
last : 264
second : 132
silhouette : 132
monday : 396
since : 132
where : 132
heliotrope : 132
wages : 132
eight : 132
love : 132
more : 528
his : 2376
family : 264
when : 1320
perfectly : 132
live : 132
meant : 132
paul : 1056
blouse : 396
mother : 792
sloped : 132
late : 264
lives : 132
called : 132
this : 660
cotton : 132
stick : 132
from : 660
believe : 264
hurried : 132
suffered : 132
while : 264
father : 264
was : 3564
if : 1056
seemed : 264
treated : 264
shillings : 132
between : 132
is : 1188
those : 396
it : 2376
your : 264
cottages : 132
almost--a : 132
in : 4092
know : 660
morels : 132
two : 264
away : 132
easter : 264
felt : 132
looked : 264
pit : 132
things : 132
discussed : 132
nottingham : 132
evenings : 132
nice : 132
its : 264
candle : 132
furs : 132
seat : 132
year : 132
sunshine : 132
along : 264
alone : 264
awfully : 132
cool : 132
going : 132
how : 396
waiting : 132
became : 132
always : 264
afraid : 132
london : 132
sunday : 132
lot : 132
ready-made : 132
admire : 132
we : 264
silent : 132
sort : 660
give : 132
exclaimed : 132
sprig : 132
spring : 264
s'll : 132
happy : 132
suits : 132
hair : 132
trust : 264
we'll : 132
dressed : 132
come : 132
us : 132
incline : 132
seem : 132
young : 660
up : 924
string : 132
doesn't : 132
down : 528
upstairs : 132
world : 132
keep : 132
afford : 132
week : 132
to : 5280
frowned : 132
paul's : 132
inner : 132
climbed : 132
pit-hill : 132
you'll : 132
half : 132
good : 132
round : 396
must : 264
after : 264
trucks : 132
mud : 132
care : 264
hovered : 132
marry : 132
burned : 132
sniffed : 264
so : 528
white : 396
behind : 132
shone : 132
gone : 132
swoop : 132
cost : 132
that : 924
than : 264
whom : 264
got : 396
princes : 132
quarter : 132
walking : 132
can : 660
brick : 132
land : 132
shining : 132
leaving : 132
so--you : 132
shut : 132
dirty : 132
reverence : 132
question : 132
replied : 396
too : 132
derby : 132
endlessly : 132
strength : 132
you : 3960
soon : 132
downstairs : 132
so's : 132
parlour : 132
high : 132
certain : 132
dinner-time : 132
very : 396
out : 264
waste : 132
plumes : 132
person : 132
wrapped : 132
for : 1056
bring : 264
kissed : 264
people : 132
yet--there's : 132
ridge : 132
went : 924
course : 132
are : 132
uneasy : 132
watching : 132
can't : 264
shouldn't : 132
false : 132
singing : 132
hours : 132
did : 396
like : 1056
without : 132
shall : 132
not : 1188
sat : 264
now : 264
say : 132
trees : 132
saw : 132
ask : 132
some : 132
suddenly : 132
put : 396
doorway : 132
pair : 132
ground : 264
wanted : 132
london-made : 132
seems : 132
judge : 132
shouted : 132
money : 132
want : 132
end : 264
boots : 264
just : 132
silk : 132
let : 132
walked : 132
whilst : 396
christmas : 132
mother--she's--she's : 132
exquisite : 132
should : 264
wouldn't : 396
secretary : 132
really : 396
adulation : 132
lily : 396
fearfully : 132
aunt's : 132
jumped : 132
mustn't : 132
annie : 396
ten : 132
but : 1452
old : 132
send : 132
buy : 132
foot : 264
little : 924
bobby-dazzler : 132
alive : 132
egg : 132
though : 132
been : 660
together : 132
dirtying : 132
were : 528
grand : 132
died : 132
woman : 132
three : 132
splendid : 132
head : 132
presently : 132
sure : 132
wants : 132
angered : 132
clerk : 132
call : 132
voice : 132
have : 1056
one : 132
pretty : 132
flame : 132
because : 132
fond : 264
rattled : 132
scarcely : 264
wash : 132
fine : 264
find : 132
wheat : 132
with : 1980
fancied : 132
vision : 132
naturally : 132
steep : 132
nearly : 132
came : 792
the : 9636
jaunting : 132
quite : 396
lady : 132
group : 132
their : 528
first : 132
File name: input/input_23.txt
said : 660
jimmy : 132
holding : 132
bright : 132
amazement : 132
crypt : 132
wait : 264
party : 396
nailed : 396
time : 132
over : 660
movement : 132
she : 9372
nonchalant : 132
something : 396
right : 132
bare : 132
bought : 132
deferential : 132
black : 132
else : 264
essential : 132
moving : 132
told : 132
derwent : 132
number : 132
